cve_ent,estado,uva_fruta,uva_vino,uva_pasa
1,Aguascalientes,7179,8573,0
2,Baja California,5367,24748,342
3,Baja California Sur,78,0,0
4,Campeche,0,0,0
5,Coahuila de Zaragoza,966,3890,0
6,Colima,0,0,0
7,Chiapas,0,0,0
8,Chihuahua,0,954,0
9,Ciudad de México,0,0,0
10,Durango,0,0,0
11,Guanajuato,95,3206,0
12,Guerrero,0,0,0
13,Hidalgo,0,0,0
14,Jalisco,2015,0,0
15,México,0,0,0
16,Michoacán de Ocampo,0,0,0
17,Morelos,0,0,0
18,Nayarit,0,0,0
19,Nuevo León,0,29,0
20,Oaxaca,0,0,0
21,Puebla,239,0,0
22,Querétaro,0,2851,0
23,Quintana Roo,0,0,0
24,San Luis Potosí,325,597,0
25,Sinaloa,0,0,0
26,Sonora,287913,1670,17798
27,Tabasco,0,0,0
28,Tamaulipas,0,0,0
29,Tlaxcala,0,0,0
30,Veracruz de Ignacio de la Llave,0,0,0
31,Yucatán,0,0,0
32,Zacatecas,54589,28677,0